title,release_date,tmdb_score,tmdb_votes,rt_score,metacritic,imdb_rating,box_office,audience_positive,audience_polarity,audience_samples,review_positive,review_polarity,fetched_at
Spider-Man: Brand New Day,2026-07-29,7.9,2315,,66/100,8.1,"$655,088,528",32.0,0.095,100,80.0,0.176,2026-08-31T19:06:17.336796
The Odyssey,2026-07-15,8.0,3360,,88/100,8.5,"$461,172,890",35.0,0.076,100,70.0,0.145,2026-08-31T19:06:17.895416
Mutiny,2026-08-19,6.347,238,,,N/A,N/A,43.0,0.08,100,50.0,0.066,2026-08-31T19:06:18.413667
The Last Sunrise,2026-08-26,6.897,74,,,N/A,N/A,36.0,0.152,100,,,2026-08-31T19:06:18.962129
Facing El Chapo,2026-08-21,8.83,407,,,,,33.3,0.122,6,,,2026-08-31T19:06:19.487742
Toxic: A Fairy Tale for Grown-ups,2026-08-26,7.237,38,,,,,0.0,0.0,1,100.0,0.613,2026-08-31T19:06:20.002081
Rage of Stars,2026-08-06,5.4,52,,,,,36.8,0.096,19,50.0,0.091,2026-08-31T19:06:20.545581
Obsession,2026-05-13,8.207,5194,93%,77/100,7.9,"$262,774,890",43.0,0.126,100,60.0,0.067,2026-08-31T19:06:21.079931
Pinocchio: Unstrung,2026-07-22,6.75,68,,50/100,5.8,"$625,726",32.0,0.073,100,100.0,0.31,2026-08-31T19:06:21.631918
Toy Story 5,2026-06-17,8.302,1836,93%,73/100,7.4,"$475,919,757",57.0,0.163,100,100.0,0.286,2026-08-31T19:06:22.169144
The Whisper Man,2026-08-27,6.3,188,,,N/A,N/A,49.0,0.175,100,,,2026-08-31T19:06:22.712607
Moana,2026-07-08,6.156,250,32%,,N/A,N/A,48.0,0.106,100,100.0,0.089,2026-08-31T19:06:23.226936
Minions & Monsters,2026-06-24,7.581,962,,70/100,6.4,"$176,919,745",,,0,50.0,0.071,2026-08-31T19:06:24.327415
Colony,2026-05-21,8.102,650,,57/100,6.5,N/A,41.0,0.151,100,100.0,0.321,2026-08-31T19:06:24.864617
Ghost in the Cell,2026-04-16,7.108,37,,,N/A,N/A,33.3,0.051,18,100.0,0.102,2026-08-31T19:06:25.400820
Above & Below,2026-07-29,6.2,10,,,,,27.1,0.044,48,,,2026-08-31T19:06:25.967615
Backrooms,2026-05-27,7.068,3056,,76/100,6.8,"$197,516,045",48.0,0.203,100,70.0,0.15,2026-08-31T19:06:26.563705
Rosebush Pruning,2026-04-23,6.1,30,,47/100,N/A,N/A,28.0,0.081,100,,,2026-08-31T19:06:27.104409
Coyote vs. Acme,2026-08-20,7.9,56,,77/100,7.7,"$5,300,000",50.0,0.19,100,100.0,0.193,2026-08-31T19:06:27.631687
Motor City,2026-07-23,6.4,87,63%,63/100,6.1,"$2,704,983",48.0,0.198,100,100.0,0.4,2026-08-31T19:06:28.164906
The Death of Robin Hood,2026-06-18,6.273,260,,,7.4,N/A,49.0,0.145,100,,,2026-08-31T19:06:29.250144
Above & Below,2026-07-29,6.778,9,,,,,27.1,0.044,48,,,2026-08-31T19:06:36.452939
Evil Dead Burn,2026-07-07,7.788,1370,,,N/A,N/A,37.0,-0.018,100,30.0,-0.016,2026-08-31T19:06:57.335043
The Last House,2026-08-06,6.914,1169,,,,,54.0,0.208,100,66.7,0.077,2026-08-31T19:07:17.705584
Your Heart Will Be Broken,2026-03-26,7.099,121,,,,,13.0,0.027,100,,,2026-08-31T19:07:30.020156
Lucky Strike,2026-06-26,7.0,37,,,N/A,N/A,46.0,0.134,100,100.0,0.134,2026-08-31T19:07:51.906228
The End of Oak Street,2026-08-12,6.352,420,86%,69/100,6.6,"$22,967,572",53.0,0.167,100,80.0,0.169,2026-08-31T19:08:03.167476
Deep Water,2026-04-30,7.124,446,,53/100,5.5,"$4,346,226",37.0,0.107,100,100.0,0.136,2026-08-31T19:08:03.688486
Jackass: Best and Last,2026-06-25,7.561,213,,63/100,6.7,"$15,175,213",35.0,-0.003,100,50.0,0.1,2026-08-31T19:08:04.505712
Insidious: Out of the Further,2026-08-19,6.622,90,,47/100,6.3,N/A,50.0,0.167,100,100.0,0.104,2026-08-31T19:08:05.039459
Avatar Aang: The Last Airbender,2026-07-24,9.19,1021,,,N/A,N/A,35.0,0.083,100,,,2026-08-31T19:08:06.851386
The Shawshank Redemption,1994-09-23,8.728,31180,89%,82/100,9.3,"$28,767,189",76.0,0.378,100,90.0,0.42,2026-08-31T19:08:07.381860
Nightborn,2026-07-01,6.031,80,,,6.0,N/A,37.0,0.13,100,,,2026-08-31T19:08:07.908255
The Secret Woman,2026-08-28,6.371,31,,,N/A,N/A,26.7,0.074,60,,,2026-08-31T19:08:08.421214
Michael,2026-04-22,8.657,4219,38%,39/100,7.5,"$371,294,610",50.0,0.191,100,100.0,0.263,2026-08-31T19:08:08.943144
Yellow Eyes,2026-08-18,4.5,7,,,N/A,N/A,27.1,-0.006,48,,,2026-08-31T19:08:09.456874
Soulm8te,2026-07-31,7.399,288,,,N/A,N/A,27.0,0.074,100,50.0,0.137,2026-08-31T19:08:10.016665
Pyaar Prema Kalyanam,2026-08-21,6.938,8,,,N/A,N/A,32.0,0.129,100,,,2026-08-31T19:08:10.580085
Shelter,2026-01-28,7.8,1795,,50/100,6.1,"$12,805,541",50.0,0.198,100,60.0,0.161,2026-08-31T19:08:11.168376
Leviticus,2026-06-17,6.685,448,,83/100,6.4,"$7,215,533",36.0,0.118,100,100.0,0.317,2026-08-31T19:08:11.688263
